Match.Id,Weight,Win.Lose,Score,Attack,Counter.Attack,Points.From.Front.Head.Lock,Points.From.Pushing.Out.Of.Bounds,Opponent.Inactivity,High.Single,Low.Single,Double.Leg,Go.Behind,Duck.Under,Slide.By.And.Throw.By,Ankle.Pick,Trips,Upper.Body.Throws,Gut.Wrench,Leg.Lace,Opponent.Penalty,Youtube.Link,,,,,,,,,,,,,,,,,,,,,,
29R,57,0,3-6,2,1,2,,,,,,3,,,,,,,,,https://www.youtube.com/watch?v=J897bikA6wE,,,,,,,,,,,,,,,,,,,,,,
30B,74,1,4-3,1,1,,2,1,,,,,,,,,,,,1,https://www.youtube.com/watch?v=dXJfINaJEzQ,,,,,,,,,,,,,,,,,,,,,,
30R,74,0,3-4,,1,,1,,,,,,,,,,1,,,2,https://www.youtube.com/watch?v=dXJfINaJEzQ,,,,,,,,,,,,,,,,,,,,,,
31R,86,1,11-0,5,2,,3,,,,2,,2,,,,,2,,2,https://www.youtube.com/watch?v=Q6vDVoF9IDY,,,,,,,,,,,,,,,,,,,,,,
32B,57,0,8-9,4,3,,,,,,,1,,,,,6,,,1,https://www.youtube.com/watch?v=926vBL005dw,,,,,,,,,,,,,,,,,,,,,,
32R,57,1,9-8,4,2,,2,,2,,1,,,,,,2,,2,1,https://www.youtube.com/watch?v=926vBL005dw,,,,,,,,,,,,,,,,,,,,,,
33B,86,0,5-9,2,2,,,,2,2,,,,,,,,,,1,https://www.youtube.com/watch?v=IYm1ZxSBPO8,,,,,,,,,,,,,,,,,,,,,,
33R,86,1,9-5,2,,,,1,2,,,,,,,,,6,,,https://www.youtube.com/watch?v=IYm1ZxSBPO8,,,,,,,,,,,,,,,,,,,,,,
34R,65,1,3-0,,2,,,1,,,2,,,,,,,,,,https://www.youtube.com/watch?v=Gn80IdpmILc,,,,,,,,,,,,,,,,,,,,,,
35B,97,0,2-3,,1,1,,1,,,1,,,,,,,,,,https://www.youtube.com/watch?v=Y71brt3TOw0,,,,,,,,,,,,,,,,,,,,,,
35R,97,1,3-2,,2,2,,1,,,,,,,,,2,,,,https://www.youtube.com/watch?v=Y71brt3TOw0,,,,,,,,,,,,,,,,,,,,,,
36B,86,1,6-3,4,,,,,,,,,,,,,6,,,,https://www.youtube.com/watch?v=yiljWs9suNc,,,,,,,,,,,,,,,,,,,,,,
36R,86,0,3-6,2,,,1,1,,2,,,,,,,,,,1,https://www.youtube.com/watch?v=yiljWs9suNc,,,,,,,,,,,,,,,,,,,,,,
